data,servico,cliente,valor,pagamento,observacao,mes
2026-04-01,progressiva,Raquel,190,PIX,,Abril
2026-04-01,hidratacao,Eduarda,55,PIX,,Abril
2026-04-01,coloracao + hidrat,Bruna,190,PIX,,Abril
2026-04-01,coloracao,Michele,120,PIX,,Abril
2026-04-01,coloracao,Larissa,120,PIX,,Abril
2026-04-01,escova,Cristina,40,DINHEIRO,,Abril
2026-04-01,corte infantil,Paulo,30,CREDITO,,Abril
2026-04-01,corte infantil,Carlos,35,PIX,,Abril
2026-04-02,hidratacao,Debora,65,PIX,,Abril
2026-04-02,manicure + pedicure,Raquel,60,DINHEIRO,,Abril
2026-04-02,hidratacao,Mariana,55,CREDITO,,Abril
2026-04-02,corte + escova,Juliana S.,80,PIX,,Abril
2026-04-02,progressiva,Amanda,180,PIX,,Abril
2026-04-02,escova,Cliente Nova,40,PIX,,Abril
2026-04-02,coloracao + hidrat,Larissa,210,PIX,,Abril
2026-04-03,corte,Felipe,45,CREDITO,,Abril
2026-04-03,manicure,Simone,30,PIX,,Abril
2026-04-03,corte,Felipe,35,DINHEIRO,,Abril
2026-04-03,escova,Kelly,45,DINHEIRO,,Abril
2026-04-03,corte infantil,Maria,30,CREDITO,,Abril
2026-04-03,hidratacao,Denise,65,CREDITO,,Abril
2026-04-03,corte + escova,Vanessa,80,PIX,,Abril
2026-04-03,coloracao,Camila,140,PIX,,Abril
2026-04-04,coloracao,Denise,120,PIX,,Abril
2026-04-04,manicure,Priscila,30,PIX,,Abril
2026-04-04,pedicure,Jessica,35,DINHEIRO,,Abril
2026-04-04,progressiva,Denise,190,DINHEIRO,,Abril
2026-04-04,corte,Carlos,35,PIX,,Abril
2026-04-04,manicure + pedicure,Maria,60,DINHEIRO,,Abril
2026-04-04,coloracao + hidrat,Gisele,200,DINHEIRO,,Abril
2026-04-05,manicure,Daniela,35,CREDITO,,Abril
2026-04-05,progressiva,Simone,170,CREDITO,,Abril
2026-04-05,corte,Andre,40,DINHEIRO,,Abril
2026-04-05,progressiva,Roberta,190,CREDITO,,Abril
2026-04-05,progressiva,Viviane,170,DINHEIRO,,Abril
2026-04-06,corte + escova,Roberta,80,PIX,,Abril
2026-04-06,progressiva,Maria,170,DINHEIRO,,Abril
2026-04-06,corte infantil,Debora,30,CREDITO,,Abril
2026-04-06,manicure + pedicure,Beatriz,50,PIX,,Abril
2026-04-06,coloracao + hidrat,Denise,190,CREDITO,,Abril
2026-04-07,corte,Roberto,35,CREDITO,,Abril
2026-04-07,sobrancelha,Gabriela,30,CREDITO,,Abril
2026-04-07,corte infantil,Felipe,35,CREDITO,,Abril
2026-04-07,corte,Jessica,35,PIX,,Abril
2026-04-07,corte,Roberto,40,CREDITO,,Abril
2026-04-07,progressiva,Amanda,180,PIX,,Abril
2026-04-07,sobrancelha,Simone,25,PIX,,Abril
2026-04-08,coloracao + hidrat,Debora,200,DINHEIRO,,Abril
2026-04-08,escova,Bianca,40,PIX,,Abril
2026-04-08,escova,Helena,40,PIX,,Abril
2026-04-08,coloracao,Natalia,140,PIX,,Abril
2026-04-08,corte,Jorge,45,PIX,,Abril
2026-04-08,escova,Fabiana,50,DINHEIRO,,Abril
2026-04-09,corte,Juliana S.,45,PIX,,Abril
2026-04-09,coloracao + hidrat,Patricia,190,CREDITO,,Abril
2026-04-09,escova,Helena,40,DINHEIRO,,Abril
2026-04-09,pedicure,Daniela,35,PIX,,Abril
2026-04-09,manicure + pedicure,Bianca,60,CREDITO,,Abril
2026-04-09,corte infantil,Elaine,30,PIX,,Abril
2026-04-10,progressiva,Simone,180,PIX,,Abril
2026-04-10,pedicure,Eduarda,30,DINHEIRO,,Abril
2026-04-10,corte,Lucas,35,DINHEIRO,,Abril
2026-04-10,hidratacao,Monica,60,CREDITO,,Abril
2026-04-10,coloracao,Cliente Nova,130,PIX,,Abril
2026-04-11,pedicure,Fabiana,35,DINHEIRO,,Abril
2026-04-11,sobrancelha,Vanessa,30,DINHEIRO,,Abril
2026-04-11,escova,Gabriela,50,PIX,,Abril
2026-04-11,corte,Roberto,40,DINHEIRO,,Abril
2026-04-11,corte,Eduarda,35,PIX,,Abril
2026-04-11,coloracao + hidrat,Cristina,200,PIX,,Abril
2026-04-12,coloracao + hidrat,Cristina,210,CREDITO,,Abril
2026-04-12,hidratacao,Joana,55,CREDITO,,Abril
2026-04-12,hidratacao,Debora,60,DINHEIRO,,Abril
2026-04-12,corte + escova,Larissa,90,PIX,,Abril
2026-04-12,corte infantil,Jorge,35,CREDITO,,Abril
2026-04-12,coloracao,Amanda,120,PIX,,Abril
2026-04-12,sobrancelha,Felipe,25,CREDITO,,Abril
2026-04-12,corte infantil,Cliente Nova,35,PIX,,Abril
2026-04-13,progressiva,Cliente Nova,170,PIX,,Abril
2026-04-13,corte + escova,Ana,80,PIX,,Abril
2026-04-13,corte + escova,Jessica,80,DINHEIRO,,Abril
2026-04-13,coloracao,Cristina,130,PIX,,Abril
2026-04-13,corte,Amanda,35,DINHEIRO,,Abril
2026-04-13,manicure + pedicure,Viviane,55,PIX,,Abril
2026-04-14,corte infantil,Paulo,35,PIX,,Abril
