data,servico,cliente,valor,pagamento,observacao,mes
2026-05-01,sobrancelha,Jorge,25,PIX,,Maio
2026-05-01,coloracao,Debora,140,CREDITO,,Maio
2026-05-01,coloracao,Joana,140,PIX,,Maio
2026-05-01,corte,Lucia,40,DINHEIRO,,Maio
2026-05-01,sobrancelha,Juliana S.,30,DINHEIRO,,Maio
2026-05-01,sobrancelha,Juliana S.,30,DINHEIRO,,Maio
2026-05-01,manicure + pedicure,Debora,55,DINHEIRO,,Maio
2026-05-02,corte infantil,Paulo,35,DINHEIRO,,Maio
2026-05-02,corte infantil,Andre,35,PIX,,Maio
2026-05-02,escova,Tania,40,DINHEIRO,,Maio
2026-05-02,pedicure,Roberta,30,DINHEIRO,,Maio
2026-05-02,corte infantil,Felipe,30,PIX,,Maio
2026-05-02,manicure + pedicure,Raquel,60,PIX,,Maio
2026-05-02,corte infantil,Felipe,30,PIX,,Maio
2026-05-02,corte infantil,Fernanda,30,CREDITO,,Maio
2026-05-03,corte + escova,Renata,80,PIX,,Maio
2026-05-03,corte,Camila,45,PIX,,Maio
2026-05-03,coloracao,Eduarda,120,PIX,,Maio
2026-05-03,manicure,Joana,35,CREDITO,,Maio
2026-05-03,corte infantil,Viviane,30,DINHEIRO,,Maio
2026-05-03,escova,Helena,40,DINHEIRO,,Maio
2026-05-03,coloracao,Maria,130,CREDITO,,Maio
2026-05-03,progressiva,Viviane,180,DINHEIRO,,Maio
2026-05-04,sobrancelha,Andre,25,CREDITO,,Maio
2026-05-04,corte,Carlos,45,PIX,,Maio
2026-05-04,coloracao,Roberta,140,PIX,,Maio
2026-05-04,corte + escova,Ana,85,PIX,,Maio
2026-05-04,progressiva,Elaine,170,PIX,,Maio
2026-05-04,manicure + pedicure,Denise,60,PIX,,Maio
2026-05-04,coloracao + hidrat,Helena,200,DINHEIRO,,Maio
2026-05-05,manicure + pedicure,Maria,50,DINHEIRO,,Maio
2026-05-05,corte,Jorge,40,PIX,,Maio
2026-05-05,manicure + pedicure,Monica,50,PIX,,Maio
2026-05-05,corte,Cristina,45,DINHEIRO,,Maio
2026-05-05,corte,Andre,40,PIX,,Maio
2026-05-05,escova,Maria,45,DINHEIRO,,Maio
2026-05-05,manicure,Larissa,35,DINHEIRO,,Maio
2026-05-05,manicure,Daniela,30,DINHEIRO,,Maio
2026-05-06,manicure,Vanessa,30,DINHEIRO,,Maio
2026-05-06,corte infantil,Carlos,30,CREDITO,,Maio
2026-05-06,manicure + pedicure,Roberta,55,DINHEIRO,,Maio
2026-05-06,escova,Ana Paula,45,PIX,,Maio
2026-05-06,pedicure,Renata,30,DINHEIRO,,Maio
2026-05-06,manicure + pedicure,Ana,60,CREDITO,,Maio
2026-05-07,hidratacao,Debora,60,PIX,,Maio
2026-05-07,manicure + pedicure,Natalia,50,CREDITO,,Maio
2026-05-07,escova,Simone,40,PIX,,Maio
2026-05-07,corte,Jorge,40,PIX,,Maio
2026-05-07,corte,Paulo,35,PIX,,Maio
2026-05-07,escova,Kelly,40,DINHEIRO,,Maio
2026-05-08,corte + escova,Tania,80,DINHEIRO,,Maio
2026-05-08,coloracao,Daniela,120,PIX,,Maio
2026-05-08,corte,Felipe,45,DINHEIRO,,Maio
2026-05-08,progressiva,Maria,190,DINHEIRO,,Maio
2026-05-08,coloracao + hidrat,Cristina,200,PIX,,Maio
2026-05-08,manicure,Larissa,30,CREDITO,,Maio
2026-05-08,escova,Tatiane,40,PIX,,Maio
2026-05-08,sobrancelha,Paulo,25,PIX,,Maio
2026-05-09,manicure + pedicure,Ana Paula,60,CREDITO,,Maio
2026-05-09,corte,Gabriela,45,CREDITO,,Maio
2026-05-09,progressiva,Michele,190,CREDITO,,Maio
2026-05-09,manicure + pedicure,Gabriela,55,DINHEIRO,,Maio
2026-05-09,manicure + pedicure,Debora,60,DINHEIRO,,Maio
2026-05-09,corte + escova,Monica,85,PIX,,Maio
2026-05-09,sobrancelha,Gisele,30,CREDITO,,Maio
2026-05-09,corte infantil,Roberto,35,CREDITO,,Maio
2026-05-10,corte + escova,Tania,85,DINHEIRO,,Maio
2026-05-10,sobrancelha,Larissa,30,PIX,,Maio
2026-05-10,manicure,Mariana,30,CREDITO,,Maio
2026-05-10,corte,Gisele,35,PIX,,Maio
2026-05-10,corte infantil,Priscila,35,DINHEIRO,,Maio
2026-05-10,sobrancelha,Joana,30,CREDITO,,Maio
2026-05-10,hidratacao,Flavia,60,PIX,,Maio
2026-05-10,coloracao + hidrat,Helena,210,DINHEIRO,,Maio
2026-05-11,coloracao + hidrat,Amanda,200,PIX,,Maio
2026-05-11,manicure,Joana,30,PIX,,Maio
2026-05-11,coloracao + hidrat,Elaine,210,PIX,,Maio
2026-05-11,pedicure,Simone,35,PIX,,Maio
2026-05-11,manicure,Natalia,35,PIX,,Maio
2026-05-11,coloracao,Cliente Nova,140,DINHEIRO,,Maio
2026-05-11,corte,Fabiana,35,PIX,,Maio
2026-05-12,coloracao,Kelly,130,DINHEIRO,,Maio
2026-05-12,escova,Roberta,50,CREDITO,,Maio
2026-05-12,escova,Mariana,50,PIX,,Maio
2026-05-12,coloracao,Maria,120,DINHEIRO,,Maio
2026-05-12,corte infantil,Roberto,35,CREDITO,,Maio
2026-05-12,progressiva,Renata,170,PIX,,Maio
2026-05-12,manicure + pedicure,Renata,50,DINHEIRO,,Maio
2026-05-13,corte,Elaine,35,PIX,,Maio
2026-05-13,pedicure,Daniela,30,DINHEIRO,,Maio
2026-05-13,manicure + pedicure,Larissa,55,DINHEIRO,,Maio
2026-05-13,manicure,Elaine,30,PIX,,Maio
2026-05-13,manicure + pedicure,Raquel,55,CREDITO,,Maio
2026-05-13,corte,Sandra,35,CREDITO,,Maio
2026-05-13,corte,Jorge,40,DINHEIRO,,Maio
