data,servico,cliente,valor,pagamento,observacao,mes
2026-03-01,manicure,Bruna,30,PIX,,Marco
2026-03-01,coloracao,Lucia,140,DINHEIRO,,Marco
2026-03-01,hidratacao,Carla,55,PIX,,Marco
2026-03-01,hidratacao,Maria,60,CREDITO,,Marco
2026-03-01,manicure + pedicure,Kelly,55,PIX,,Marco
2026-03-02,manicure + pedicure,Debora,55,PIX,,Marco
2026-03-02,escova,Debora,45,PIX,,Marco
2026-03-02,corte,Elaine,40,DINHEIRO,,Marco
2026-03-02,escova,Larissa,40,DINHEIRO,,Marco
2026-03-02,corte,Ana Paula,35,PIX,,Marco
2026-03-02,hidratacao,Patricia,65,DINHEIRO,,Marco
2026-03-03,corte,Felipe,40,DINHEIRO,,Marco
2026-03-03,corte,Eduarda,35,PIX,,Marco
2026-03-03,manicure + pedicure,Tania,55,PIX,,Marco
2026-03-03,manicure,Mariana,30,PIX,,Marco
2026-03-03,hidratacao,Bruna,65,DINHEIRO,,Marco
2026-03-04,sobrancelha,Patricia,25,DINHEIRO,,Marco
2026-03-04,sobrancelha,Tania,25,PIX,,Marco
2026-03-04,coloracao + hidrat,Helena,210,PIX,,Marco
2026-03-04,manicure,Denise,35,DINHEIRO,,Marco
2026-03-04,corte,Roberto,45,PIX,,Marco
2026-03-05,coloracao,Carla,120,PIX,,Marco
2026-03-05,coloracao + hidrat,Mariana,200,PIX,,Marco
2026-03-05,coloracao + hidrat,Bianca,210,CREDITO,,Marco
2026-03-05,progressiva,Tatiane,180,PIX,,Marco
2026-03-05,manicure + pedicure,Simone,55,DINHEIRO,,Marco
2026-03-05,corte + escova,Jessica,80,CREDITO,,Marco
2026-03-06,corte,Lucas,45,CREDITO,,Marco
2026-03-06,escova,Priscila,45,DINHEIRO,,Marco
2026-03-06,hidratacao,Priscila,60,PIX,,Marco
2026-03-06,progressiva,Mariana,180,DINHEIRO,,Marco
2026-03-06,corte,Roberta,35,DINHEIRO,,Marco
2026-03-07,coloracao,Viviane,140,PIX,,Marco
2026-03-07,escova,Juliana S.,50,PIX,,Marco
2026-03-07,corte + escova,Tatiane,80,DINHEIRO,,Marco
2026-03-07,coloracao + hidrat,Bianca,200,PIX,,Marco
2026-03-07,sobrancelha,Felipe,25,PIX,,Marco
2026-03-07,corte,Helena,35,CREDITO,,Marco
